,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,sq_particles,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
33,0.729,39,39_0,4.176507424601519,1.389945607757474,4.991870882008858,0.9136446909902182,0.6853518609737175,0.670746488366433,1.0,0.20016831710197877,0.8579690859423103,62500000000,COMPLETED,GPKG,8943.440663,0.7297600872865744,0.007857641954380407
34,0.677,40,40_0,3.7813689843770915,2.778945776147758,2.845974207862354,0.6659832665250968,0.8405025147252916,0.4660863824768504,0.6734171268953084,0.674725317088473,0.22740770216367792,625000000,COMPLETED,GPKG,66.08163,0.6746696106667022,0.009478352726326042
35,0.56,41,41_0,2.7167593186564387,2.527670018127786,1.033752581836425,0.3027664626469121,0.1,0.4986984040371375,0.16500807219461655,0.697472598177991,0.9989487160602729,59344746003,COMPLETED,GPKG,651.405696,0.5665916821416644,0.009583728943290327
36,0.766,42,42_0,4.340627746703338,1.3000956893786517,4.969175964931658,0.9614573938806663,0.6118446719132464,0.7060225903626575,0.8424461821205715,0.2526844245931034,0.8673756489870958,625000000,COMPLETED,GPKG,64.643479,0.7435443929450387,0.0067389073259040535
37,0.698,43,43_0,5.0,1.3356822314511423,5.0,0.9898839906231977,0.5933753851238999,0.608173527192499,0.8826850893252269,0.3051894002025167,0.3887737766821891,625000000,COMPLETED,GPKG,115.55955,0.6970655147684234,0.009158272422666796
38,0.673,44,44_0,4.068696321030775,4.95200244316354,3.1680892988107536,0.709618414533519,0.1531921316431475,0.39754398952253256,0.5420834621583358,0.6574640285763883,0.423156724872427,625000000,COMPLETED,GPKG,118.510025,0.6710282572884957,0.009078176839124116
40,0.698,45,45_0,4.530325703641156,1.037653216255807,4.975777842463212,0.9286083891470733,0.6133687419030286,0.6480549589239213,0.8955933666322355,0.3179315961203847,0.8595240054017284,625000000,COMPLETED,GPKG,118.757442,0.712825586076284,0.008127134327723107
41,0.634,46,46_0,4.460734135157875,4.255181394182061,2.250559472751706,0.5962551674848166,0.6048421062831366,0.23387664408022835,0.5000687373677023,0.5796609926059816,0.3456344685943577,625000000,COMPLETED,GPKG,117.069284,0.6367374451788428,0.009333831913145766
42,0.707,47,47_0,4.227787063592505,1.5580528700443552,5.0,1.0,0.7339204988511019,0.7556894813307019,0.8098672090129555,0.1406005442964238,1.0,625000000,COMPLETED,GPKG,120.666328,0.7038237980743008,0.00855574892548769
43,0.676,48,48_0,4.229544266350558,1.993250406054197,5.0,0.9446154317218308,0.6431179214167961,0.7426032538254747,0.8239875360299586,0.24498331239650667,0.7535594549438852,625000000,COMPLETED,GPKG,112.892179,0.6812868671345739,0.009085327704391334
