,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1_div_mu3,std2_div_mu3,std3_div_mu3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
34,0.679,40,40_0,26.504817120042937,31.522176514185762,92.84238011751623,19.883845210943587,28.866278557270313,0.8593308747932745,0.6126404728581843,1.0,COMPLETED,GPEI,384.516212,0.6788329194236835,0.006283050659986169
35,0.661,41,41_0,31.88922407825029,12.915623589582003,44.93492810190562,29.152237347012726,34.346469207855925,0.5315659824265261,0.40451505218444617,1.0,COMPLETED,GPEI,57.988729,0.6605799009424831,0.00628576466865484
36,0.664,42,42_0,21.76151168821153,28.69651051331928,85.87589311736963,42.43081406442491,29.958999743559218,0.5622049749187646,0.9563351304972163,1.0,COMPLETED,GPEI,242.413819,0.6640164917915021,0.006288881379175927
37,0.642,43,43_0,30.626050333295126,18.960620705555844,65.9884703547641,38.389460229374905,7.952656385674219,0.9103327963877462,0.4482857939503728,0.8160522285771864,COMPLETED,GPEI,249.330096,0.6423412882108387,0.00628354472282253
38,0.557,44,44_0,29.568993757672494,28.166005260254828,0.002,13.546013686320638,65.33253104144077,0.3361725033546845,0.5612792247289193,1.0,COMPLETED,GPEI,85.634248,0.5582310218454803,0.006280086896041229
40,0.669,45,45_0,22.005379072958295,50.0,20.368843306064885,21.997622230953297,77.54003432996365,0.33945399707894347,0.9828058329259571,1.0,COMPLETED,GPEI,243.587393,0.6689901653054282,0.006284608162843649
41,0.659,46,46_0,36.26209605117942,32.404007602250395,82.99686819936983,100.0,66.95457072959312,0.9318082224602505,0.647230351547865,0.7366077889697037,COMPLETED,GPEI,176.337489,0.6590406874235811,0.006284787687300653
42,0.654,47,47_0,36.467474173128686,22.446409861528547,69.95950027540665,91.70767165484186,100.0,1.0,0.8321746218160834,0.6939938759674423,COMPLETED,GPEI,216.780917,0.6545076975355077,0.006268603550166709
43,0.746,48,48_0,44.96409515720681,4.906652958804944,49.085416730692685,81.07295352791557,65.9159957227141,1.0,0.660133126105565,0.5767559028286916,COMPLETED,GPEI,218.574463,0.7453878084330752,0.006290522523709237
44,0.665,49,49_0,19.120334751742803,50.0,0.002,23.19017927060959,67.36903910023189,0.6139155587424235,0.8954186480052506,0.7409080519660003,COMPLETED,GPEI,239.36228,0.6651233348837673,0.006284581078395315
