,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,trial_status,generation_method,runtime,trial_start_datetime,trial_complete_datetime,time_elapsed,vol_frac_pred,vol_frac_sigma
17,0.736,24,24_0,1.549806210450432,4.7202715514709634,4.863805239737609,0.8299896171603961,0.14399896506539997,0.5947343591123505,0.5321516827469873,0.5018073356231475,0.6045122532733709,COMPLETED,GPEI,24130.707785,2022-06-24 13:39:25.285903,2022-06-24 20:21:35.993688,66263.12306,0.7354436807436016,0.003420754309228842
18,0.735,25,25_0,1.4451643777412726,4.302226117149403,4.544163035354048,0.7577223365587039,0.2425831213861363,0.6950451054986675,0.43160842057733956,0.7059600641868637,0.5812935416673415,COMPLETED,GPEI,20058.005767,2022-06-24 14:31:43.066584,2022-06-24 20:06:01.072351,65328.201723,0.7354597757419081,0.003116065743403445
19,0.72,26,26_0,1.44616302936353,3.696967963984935,5.0,0.8114086618102191,0.1,0.6169265815244814,0.5491207198495968,0.40803606699276257,0.46350657791463007,COMPLETED,GPEI,22870.393627,2022-06-24 15:24:51.984964,2022-06-24 21:46:02.378591,71329.507963,0.7215077409276768,0.0037826253250600253
20,0.734,27,27_0,1.3786141794519626,4.253906275705357,4.189492753089397,0.7709652068627049,0.2254767589263954,0.48847402551011043,0.4894760614321253,0.5303898851236191,0.6117762026727024,COMPLETED,GPEI,21473.750433,2022-06-24 16:43:28.011957,2022-06-24 22:41:21.762390,74648.891762,0.7308380021715244,0.0032255635423061755
21,0.711,28,28_0,1.6634222204056204,3.973467698305839,3.945070513803958,0.7623847358992171,0.16979874522029592,0.700284470594427,0.4761221437938875,0.3964308210531396,0.5411747308074956,COMPLETED,GPEI,20221.002337,2022-06-24 16:54:40.712841,2022-06-24 22:31:41.715178,74068.84455,0.7141945019891378,0.003576031056891358
22,0.728,29,29_0,1.3823704299909105,4.676423744352019,4.86138884294451,0.757937714608967,0.1,0.7648555858672255,0.5522600861095147,0.5096306293619669,0.4597617583117679,COMPLETED,GPEI,21515.145897,2022-06-24 18:12:47.893453,2022-06-25 00:11:23.039350,80050.168722,0.7312256583252578,0.003359231275401142
23,0.73,30,30_0,1.642013705512291,4.644910173114377,4.32432950762076,0.7479191437395186,0.1457888674649141,0.8803091159263271,0.43032688996781315,0.5013332935395352,0.5430375164854201,COMPLETED,GPEI,19832.210537,2022-06-24 18:59:23.036378,2022-06-25 00:29:55.246915,81162.376287,0.7286507633720363,0.0034118973879610813
24,0.735,31,31_0,1.3505201511876093,3.8135545537937294,4.888343206900943,0.7303103366447583,0.1752484574981047,0.8308669917619083,0.5380763343759646,0.5024302506934476,0.4294577595222226,COMPLETED,GPEI,19409.205612,2022-06-24 19:10:12.551008,2022-06-25 00:33:41.756620,81388.885992,0.7309816418701024,0.0035209875430457028
25,0.724,32,32_0,1.4884417747041925,4.584782678302138,4.411303027227001,0.734596591634634,0.1581479956216561,0.8517095213338555,0.5335660421367556,0.6969602306286766,0.5165794714585716,COMPLETED,GPEI,19943.291701,2022-06-24 20:06:07.956264,2022-06-25 01:38:31.247965,85278.377337,0.7271085971330098,0.003392112946941566
26,0.739,33,33_0,1.6482576667285724,4.799205070529599,4.61924129347487,0.8217622110060032,0.1082280718810474,0.7778310146882008,0.45057736301098184,0.5978398104684873,0.5397182880929329,COMPLETED,GPEI,23346.345585,2022-06-24 20:21:45.030012,2022-06-25 02:50:51.375597,89618.504969,0.7380594006573666,0.0032699122722913273
28,0.745,34,34_0,1.3341788081744599,4.750171986633858,4.814689287240036,0.7723286342523364,0.1,0.7489687216316764,0.4087049851094662,0.5639579160330771,0.60195818509543,COMPLETED,GPEI,22104.147082,2022-06-24 21:46:13.492601,2022-06-25 03:54:37.639683,93444.769055,0.7455327752580145,0.0029302620898253987
29,0.742,35,35_0,1.4188818981821623,4.852629814325411,5.0,0.7839027686979755,0.2483762240707813,0.7507269809884454,0.46402593348875104,0.5955747131392243,0.4560556942888221,COMPLETED,GPEI,22448.69713,2022-06-24 22:31:49.738409,2022-06-25 04:45:58.435539,96525.564911,0.7408810449437774,0.0033890770673600887
30,0.752,36,36_0,1.2092481872152407,4.544479061050584,4.887894400451792,0.7833439514896899,0.24136333316743655,0.4715010439120104,0.38144892845894685,0.6050851577039328,0.5771174666808103,COMPLETED,GPEI,23205.241973,2022-06-24 22:41:28.641083,2022-06-25 05:08:13.883056,97861.012428,0.7518564220184977,0.002951816709502022
31,0.734,37,37_0,1.577441982020174,4.535477845267755,4.53215052758012,0.7934526218171015,0.20992658240376194,0.6323833769738442,0.4934805885276876,0.5926945845963685,0.559423752650115,COMPLETED,GPEI,22159.151221,2022-06-25 00:11:27.743918,2022-06-25 06:20:46.895139,102214.024511,0.7335606690717761,0.0026639895796890787
32,0.747,38,38_0,1.4973682014606247,5.0,4.365563633783223,0.8285642385484369,0.3025474454544651,0.5408562753939467,0.3394215697666002,0.6258353721182487,0.6030000074447582,COMPLETED,GPEI,24848.530038,2022-06-25 00:30:02.549855,2022-06-25 07:24:11.079893,106018.209265,0.748716131868854,0.0035847839681722206
33,0.733,39,39_0,1.2767364329299968,4.077786849621948,4.706438982664528,0.7479207335603675,0.13061913093378827,0.7703209626696446,0.4652523610065876,0.5917540779004168,0.5619301332954114,COMPLETED,GPEI,20502.92183,2022-06-25 00:33:54.363122,2022-06-25 06:15:37.284952,101904.414324,0.733654228096956,0.00312008067655801
34,0.747,40,40_0,1.30182514379884,4.384525503064209,4.643919463898039,0.787422258352756,0.10724974577811731,0.6226199699683338,0.35984813777501234,0.5884705735338975,0.6466712286211409,COMPLETED,GPEI,22570.392924,2022-06-25 01:38:37.661937,2022-06-25 07:54:48.054861,107855.184233,0.7459905267855209,0.003020394658541224
35,0.74,41,41_0,1.5098607328375233,4.248942196999787,4.853633391622182,0.8408922578336786,0.24223028000092464,0.7442044212649632,0.3757792971069334,0.6029344525238083,0.5218759435894319,COMPLETED,GPEI,24110.80296,2022-06-25 02:51:00.610708,2022-06-25 09:32:51.413668,113738.54304,0.7414460723993475,0.0034908678376881675
36,0.755,42,42_0,1.1988957725114497,4.825786009704706,4.416514778940126,0.8314934530992115,0.1,0.6638236248872578,0.3297055403423095,0.6255934505035433,0.6702174867296353,COMPLETED,GPEI,27018.834886,2022-06-25 03:54:43.700099,2022-06-25 11:25:02.534985,120469.664357,0.7559841813030582,0.003072077387875778
37,0.758,43,43_0,1.2445420056429826,4.7014268376282775,5.0,0.8008814924133739,0.26546253070179837,0.7359153349724801,0.32838623420527524,0.5991303860562859,0.5846582619346173,COMPLETED,GPEI,23769.887272,2022-06-25 04:46:13.671076,2022-06-25 11:22:23.558348,120310.68772,0.7558725130755796,0.0027090424328422916
38,0.745,44,44_0,1.2060058701310472,4.877395183160735,5.0,0.8073136296547551,0.22581792146248997,0.5290726378456645,0.21765547926409554,0.6356031488545487,0.5705919662924025,COMPLETED,GPEI,27793.644068,2022-06-25 05:08:20.707144,2022-06-25 12:51:34.351212,125661.480584,0.7479290138461029,0.002869742613002783
40,0.756,45,45_0,1.3138185177373978,5.0,5.0,0.7777566876342458,0.26140635051643546,0.544559536959979,0.35482795033626485,0.6230670439677234,0.6444554515530289,COMPLETED,GPEI,22922.646715,2022-06-25 06:15:43.590646,2022-06-25 12:37:46.237361,124833.366733,0.7553538416786592,0.0029316218312859647
41,0.754,46,46_0,1.0,4.504083406287144,5.0,0.7954164659176725,0.4013504458640089,0.4878722550440908,0.2512789644885476,0.607723369438483,0.5327056747090154,COMPLETED,GPEI,25527.260121,2022-06-25 06:20:52.661443,2022-06-25 13:26:19.921564,127747.050936,0.7524144243537628,0.003624452109143433
42,0.771,47,47_0,1.0,5.0,5.0,0.8553802159364946,0.2219754890401668,0.5265001030116795,0.2641043370525446,0.6341767442539081,0.671496658971454,COMPLETED,GPEI,31606.624962,2022-06-25 07:24:16.439308,2022-06-25 16:11:03.064270,137630.193642,0.7658066549368227,0.0023098427725993156
43,0.737,48,48_0,1.397773286627919,5.0,5.0,0.7968625778778794,0.11271321160355383,0.48496122605899694,0.20463698025362048,0.6133866434069835,0.669403658776953,COMPLETED,GPEI,26630.487294,2022-06-25 07:54:52.761459,2022-06-25 15:18:43.248753,134490.378125,0.7350413058317528,0.0035646420898259286
44,0.752,49,49_0,1.1209954866856322,5.0,5.0,0.7905436221500095,0.3345337901977686,0.6302220409760332,0.20222308499827205,0.586256129480035,0.6778101469278578,COMPLETED,GPEI,25388.787931,2022-06-25 09:33:15.729692,2022-06-25 16:36:24.517623,139151.646995,0.748562740787966,0.0034452832127716752
45,0.757,50,50_0,1.0,5.0,5.0,0.8415014000267009,0.25843451042983734,0.7385424325054194,0.21484072891517747,0.6972311325858083,0.583396274956777,COMPLETED,GPEI,31936.410833,2022-06-25 11:22:31.033499,2022-06-25 20:14:47.444332,152254.573704,0.7543879989108632,0.0031925670240464405
46,0.762,51,51_0,1.1147182358291408,5.0,5.0,0.8325858231978387,0.23384491059237933,0.6766666839821469,0.299050527349223,0.6087429313134319,0.7507268807554961,COMPLETED,GPEI,27992.842858,2022-06-25 11:25:16.694118,2022-06-25 19:11:49.536976,148476.666348,0.7642351375501032,0.002406505353265548
47,0.707,52,52_0,1.197852968523404,5.0,5.0,0.8212431198264503,0.1559638211447099,0.6937634485662262,0.11103849754704583,0.6169065132571938,0.6381343335768617,COMPLETED,GPEI,34599.826867,2022-06-25 12:37:50.218110,2022-06-25 22:14:30.044977,159437.174349,0.7115794271411834,0.003841446705581601
48,0.767,53,53_0,1.0,5.0,4.918715294449086,0.8238811073103073,0.2588080629131919,0.6528675093125964,0.3596935250821969,0.6005933901869203,0.653268278113085,COMPLETED,GPEI,28250.799243,2022-06-25 12:51:42.413240,2022-06-25 20:42:33.212483,153920.341855,0.7653916442398087,0.002425279622707626
49,0.748,54,54_0,1.0,4.743090056283716,5.0,0.7815614866931828,0.4090365703169542,0.6350910151894374,0.3324314058801744,0.5834296907507688,0.642746516155707,COMPLETED,GPEI,24764.137941,2022-06-25 13:26:30.066707,2022-06-25 20:19:14.204648,152521.33402,0.7517737030226243,0.0033530463402946854
50,0.766,55,55_0,1.0,5.0,5.0,0.8557668193670078,0.33203263704101954,0.6822952726601597,0.3584285362702599,0.6477350439061492,0.7696190388079172,COMPLETED,GPEI,29942.447258,2022-06-25 15:18:50.970982,2022-06-25 23:37:53.418240,164440.547612,0.7652197503930046,0.0027471093431524415
52,0.764,56,56_0,1.0,5.0,5.0,0.8876865065071131,0.29375864153342085,0.5358188510675452,0.3178553580448764,0.5838008212124673,0.742431411002471,COMPLETED,GPEI,31735.269631,2022-06-25 16:11:12.034040,2022-06-26 01:00:07.303671,169374.433043,0.7682317071543439,0.0021171663382596045
53,0.778,57,57_0,1.0,5.0,5.0,0.8922009430248117,0.290215685598019,0.5281397477354172,0.3241833926040952,0.7123182748193141,0.7578967061770541,COMPLETED,GPEI,34110.636909,2022-06-25 16:36:43.000151,2022-06-26 02:05:13.637060,173280.766432,0.7703074506315483,0.001518296017706448
54,0.77,58,58_0,1.0,5.0,5.0,0.8835090788698055,0.30084017812066766,0.5508204042865977,0.3340436061001452,0.6174235774385483,0.6459225408572206,COMPLETED,GPEI,31747.064489,2022-06-25 19:12:06.603045,2022-06-26 04:01:13.667534,180240.796906,0.7687338690682507,0.0021693357399754933
55,0.763,59,59_0,1.0,5.0,5.0,0.9285668636778517,0.19520344604983944,0.46238117516354127,0.3310418505521481,0.6860196675409129,0.6931453036426383,COMPLETED,GPEI,29984.900152,2022-06-25 20:15:04.971942,2022-06-26 04:34:49.872094,182257.001466,0.7671306835467191,0.002857898452508121
56,0.775,60,60_0,1.0,5.0,5.0,0.8848688071091375,0.20156962054485822,0.624819141634613,0.31239062835018216,0.5980706062176747,0.6689305962042801,COMPLETED,GPEI,32199.663477,2022-06-25 20:19:24.410411,2022-06-26 05:16:04.073888,184731.20326,0.769384472750312,0.002114649402475532
57,0.771,61,61_0,1.0,5.0,4.761597250834107,0.8545795762686837,0.23204335232302617,0.5402513071991198,0.3272800291936383,0.6492665958440194,0.6904504490905189,COMPLETED,GPEI,30153.701799,2022-06-25 20:42:46.693309,2022-06-26 05:05:20.395108,184087.52448,0.7700011419529429,0.001855103026940273
58,0.764,62,62_0,1.0,5.0,5.0,0.86965134455259,0.25168589484311765,0.5896335535335316,0.3051764471240621,0.7278193466137153,0.6427004839797555,COMPLETED,GPEI,33045.808736,2022-06-25 22:14:43.827320,2022-06-26 07:25:29.636056,192496.765428,0.7703583314547584,0.0017960752895590144
59,0.765,63,63_0,1.0,5.0,5.0,0.9473080472033786,0.3337790630295528,0.5874708409400394,0.29667141882533815,0.6901769416005263,0.648144648239324,COMPLETED,GPEI,30654.403118,2022-06-25 23:38:09.921822,2022-06-26 08:09:04.324940,195111.454312,0.7635570340158133,0.003071659773688252
60,0.772,64,64_0,1.0,5.0,5.0,0.8527770974886789,0.23697303414303617,0.43872007566453386,0.30697338840064564,0.76754483671769,0.7485497296084179,COMPLETED,GPEI,30599.526108,2022-06-26 01:00:14.399838,2022-06-26 09:30:13.925946,199981.055318,0.7698308036287171,0.002029363564903347
61,0.773,65,65_0,1.0,5.0,5.0,0.9131158087733623,0.25368426220252993,0.6208293725302134,0.3357642762757913,0.7806531807700308,0.688695679788252,COMPLETED,GPEI,35242.441784,2022-06-26 02:05:18.028726,2022-06-26 11:52:40.470510,208527.599882,0.7710146695845675,0.0018075733631227693
62,0.767,66,66_0,1.0,5.0,5.0,0.8978099758292456,0.3585688027408156,0.5163074222755286,0.27318315181968167,0.7911017296605591,0.7185568227624701,COMPLETED,GPEI,37578.690864,2022-06-26 04:01:21.403127,2022-06-26 14:27:40.093991,217827.223363,0.7652096350872071,0.002665415018015417
64,0.763,67,67_0,1.0,5.0,5.0,0.85580888724674,0.3078301549595721,0.5408459039418599,0.30127921109705935,0.7465779439214247,0.7082884198158891,COMPLETED,GPEI,31128.746725,2022-06-26 04:34:58.058372,2022-06-26 13:13:46.805097,213393.934469,0.7693076248636112,0.001834787690438943
65,0.764,68,68_0,1.0,5.0,5.0,0.8557795677195942,0.3266455451476274,0.36141453588237904,0.2752828189793215,0.8054206438739677,0.8257174215645656,COMPLETED,GPEI,31918.867697,2022-06-26 05:05:29.681634,2022-06-26 13:57:28.549331,216015.678703,0.7640256054199277,0.0029956429578887576
66,0.772,69,69_0,1.0,5.0,5.0,0.8943449358996425,0.2668448308720664,0.6783588255231667,0.3145928191195248,0.7333772500355377,0.7020694312294788,COMPLETED,GPEI,34084.037447,2022-06-26 05:16:19.403409,2022-06-26 14:44:23.440856,218830.570228,0.7713068851964087,0.0015971795835647326
67,0.77,70,70_0,1.0,5.0,5.0,0.884089116186973,0.22915982641285723,0.6204477344218681,0.3216600459281426,0.6712539811934431,0.7576519050611189,COMPLETED,GPEI,33605.287877,2022-06-26 07:25:36.511213,2022-06-26 16:45:41.799090,226108.928462,0.7716845406127533,0.0013949625911248988
68,0.767,71,71_0,1.0,5.0,4.583461859346033,0.8955939192143708,0.30227891741445867,0.5561382454579379,0.2921152540008633,0.706244338648939,0.8096983802712047,COMPLETED,GPEI,35435.414591,2022-06-26 08:09:17.173987,2022-06-26 17:59:52.588578,230559.71795,0.7670962209232166,0.0025196458726561505
