,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1_div_mu3,std2_div_mu3,std3_div_mu3,comp1,comp2,trial_status,generation_method,comp3,runtime,vol_frac_pred,vol_frac_sigma
23,0.624,30,30_0,20.802528605833114,19.023913945958906,10.77288506769698,19.50690989463478,97.20090432488772,0.6693382062686004,0.3306617937313799,COMPLETED,GPEI,1.9761969838327786e-14,261.523938,0.6249810376915031,0.0025220975968888617
24,0.588,31,31_0,37.46210628103792,32.945775094365054,0.002000000000001633,29.849187184376046,76.38928189660433,0.9835406118543749,0.016459388145625163,COMPLETED,GPEI,0.0,316.909881,0.5883545583316786,0.0035076748102226708
25,0.687,32,32_0,35.3596792435473,32.960791034040795,0.002,32.66862479059399,40.11044521135891,0.9189407837678132,0.0810592162321867,COMPLETED,GPEI,1.1102230246251565e-16,385.533527,0.685433706196936,0.003337895820881115
26,0.637,33,33_0,34.55024134477857,30.73177340293243,27.37744488611448,32.68654807398518,56.471197043774396,0.9678658150308909,0.032134184969109,COMPLETED,GPEI,1.1102230246251565e-16,237.200498,0.6371542711946404,0.0035053828655117027
28,0.646,34,34_0,31.328335442030557,24.509844528845317,0.002,0.002,96.0432455285714,0.768536362750059,0.2314636372499427,COMPLETED,GPEI,-1.7763568394002505e-15,195.966277,0.645741883094392,0.003516219158305934
29,0.612,35,35_0,26.208899217559914,28.365815034372222,11.597986332797745,34.661988516392285,91.53998437208905,0.6719180154724258,0.3280819845264297,COMPLETED,GPEI,1.1444178937836114e-12,255.522472,0.6121159382376141,0.00349958344577399
30,0.548,36,36_0,1.5972589221430737,30.7016821221461,36.122966033340184,82.12965384125889,99.99999999998349,0.8303625698045365,1.5237067692720806e-13,COMPLETED,GPEI,0.1696374301953112,99.333824,0.5484896317592638,0.003510710489225404
31,0.631,37,37_0,27.299452176317597,19.969569181599887,16.060282181964734,43.5064146618322,92.20780274226617,0.6025947096912917,0.3974052903086428,COMPLETED,GPEI,6.550315845288424e-14,258.356024,0.631101587057681,0.00349655372648868
32,0.656,38,38_0,38.98176699143936,22.419105632715908,0.002,40.34783436869783,62.04142440515986,0.9217025825231953,0.07829741747680648,COMPLETED,GPEI,-1.7763568394002505e-15,322.793508,0.655976287355029,0.0034927764393521583
33,0.645,39,39_0,28.04585418816896,14.754048192708236,2.392898404539404,24.72076527714151,86.45250470451697,0.7004201633978833,0.2995798366021167,COMPLETED,GPEI,0.0,266.845432,0.64495651393624,0.0034908231101017854
34,0.643,40,40_0,22.904021352395766,25.531049748523373,4.317628696308459,49.46451825589485,99.9999999999999,0.5384626258803599,0.46153737411963897,COMPLETED,GPEI,1.1102230246251565e-15,324.338612,0.642906310850442,0.003501822269499418
35,0.647,41,41_0,39.93172377598461,34.03453161902552,1.1084378304526545,35.438914281086454,35.43891428108639,0.8945822955061566,0.10541770449384298,COMPLETED,GPEI,3.3306690738754696e-16,371.072683,0.6502888024834431,0.002466496939736141
36,0.653,42,42_0,39.934821793277344,34.02107965024921,1.0616601115037296,35.44734665190108,35.44734665190109,0.8946446649889709,0.1053553350110291,COMPLETED,GPEI,0.0,319.827347,0.6502801182832053,0.00246393530969269
37,0.6,43,43_0,34.130618370294236,33.13896265372115,0.002000000000002021,13.366820350348641,40.803079909819054,0.8648126933342721,0.1351873066657273,COMPLETED,GPEI,5.551115123125783e-16,263.282897,0.6003799510186771,0.0035106491539655554
38,0.664,44,44_0,35.086465991023935,25.01634085080085,0.002,36.42736917518787,36.42736917518787,0.9064527298663051,0.09354727013369488,COMPLETED,GPEI,0.0,283.764386,0.6636819574697985,0.0034731609770596856
40,0.642,45,45_0,35.84377049847187,30.619368944619357,0.002,36.13951657660591,43.81821017829583,0.8494747738228584,0.027163560777410344,COMPLETED,GPEI,0.12336166539973126,54.849328,0.6424944341167363,0.0034736936869008716
41,0.606,46,46_0,36.29539514057981,34.29611068593142,0.002,46.53499948998756,46.534999489987555,0.9073619340522863,0.09263806594771759,COMPLETED,GPEI,-3.774758283725532e-15,167.460497,0.6064073732895517,0.003482372069687488
42,0.683,47,47_0,34.982666368253,30.996108569353005,0.002,29.584888822734513,50.196396227872576,0.9047251506154613,0.09527484938523777,COMPLETED,GPEI,-6.989964163039986e-13,175.661108,0.685512043003967,0.002499301050053055
43,0.688,48,48_0,34.944140932432965,30.501615493354745,0.00200000000775608,29.267030853037813,50.29888890765867,0.9046157227227797,0.09538427727700113,COMPLETED,GPEI,2.191580250610059e-13,164.835999,0.6854334164005221,0.002554854611373637
44,0.647,49,49_0,35.53691754709301,33.18714118855534,0.0020000008156820497,38.52276205371875,43.74643532734019,0.93800519576769,0.06199480422725361,COMPLETED,GPEI,5.056399743352813e-12,157.714739,0.6475045232757385,0.0034216245312482414
